wp_post_id,name,price,lessons_count
3092,ФИНАНСОВЫЙ ПЛАН ФИНМОДЕЛЬ И БИЗНЕС-ПЛАН ЗА 1 МЕСЯЦ,000,00
3092,BRANDING & MARKETING LAUNCHОТ UNDERDOG ДО СВОЕГО БРЕНДА ЗА 6 НЕДЕЛЬ,000,00
3092,ФИНАНСОВЫЙ ПЛАН ФИНМОДЕЛЬ И БИЗНЕС-ПЛАН ЗА 1 МЕСЯЦ,000,00
3092,"LOVE LEVEL:КЛИЕНТСКИЙ СЕРВИС, ЗА КОТОРЫЙ ЛЮБЯТ",000,00
3092,"ГЛАВНЫЕ ИНСТРУМЕНТЫ, ЗНАНИЯ И НАВЫКИ, ЧТОБЫ ЗАПУСТИТЬ ПРИБЫЛЬНЫЙ DIGITAL-МАРКЕТИНГ",000,00
3092,"BRAND-UNDERDOGКАК СОЗДАВАТЬ, ЗАПУСКАТЬ И ПРОДВИГАТЬ БРЕНДЫ",000,00
3092,"MARKETING CORE. ВСЯ СУТЬ МАРКЕТИНГА, ЧТОБЫ ПРОДАВАТЬ ДОЛЬШЕ, БОЛЬШЕ И ДОРОЖЕ",000,00
3092,ЖЕСТКИЙ МЕНЕДЖМЕНТ. СЕО В НОВОЙ ЭКОНОМИКЕ,000,00
3094,"Курс ""Основы флористики""",000,4
3094,"Курс ""Свадебная флористика""",000,4
3094,"Курс ""Новогодняя флористика""",000,4
3094,"Курс ""Интерьерная флористика""",000,4
3097,"Курс ""Різдвяні декорації""",000,2
3097,Майстер-клас Різдвяний віночок,000,2
3097,Курс: Хоббі флористика,000,2
3097,Базовий курс флористики для початківців,000,2
3097,Курс: Весільна флористика та технічний декор для початківців,000,2
3097,Бізнес курс комерційної флористики,000,2
3097,Курс: Стилі та техніки збору букетів,000,2
3097,Трендова упаковка різних видів букетів,000,2
3097,"Практичний майстер-клас ""Фотозони з кульками""",000,2
3138,Курс «Твой яркий инстаграм»,000,60
3138,Курс «Лови момент — профессиональные фишки для начинающих фотографов с Романом Гинзбургом»,000,100
3138,Курс “Креативная фотография для начинающих фотографов с Василием Кривенко”,000,100
3138,Индивидуальный курс «Интенсив 3х3»,000,9
3138,"Курс для начинающих фотографов ""Лови момент"" (14 недель)",000,90
3138,"Курс художественной фотографии для фотолюбителей ""Рисуем светом"" (12 недель)",000,80
3138," Курс коммерческой фотографии ""Фотомастер"" (21 неделя)",000,120
3138,"Курс ""Постпродакшн - секреты Photoshop CS5"" (10 недель)",000,70
3144,Полный курс фотографии,000,25
3144,Курс “Основы фотографии,000,12
3148,Курс Интернатура PPC контекстная реклама Направление: PPC,000,30
3148,Курс SEO поисковая оптимизация Направление: SEO,000,30
3148,Курс ASO оптимизация мобильных приложений Направление: Internet Marketing,000,30
3148,Курс Интернатура IT Client Manager Направление: Продажи,000,30
3148,Курс Интернатура Support Manager Направление: Customer Support,000,30
3148,Курс PHP web-разработка Направление: Web Development,000,30
